Calendar Basis,,,
Portfolio, ,Default,
Item, , ,
Frequency,일간,KRW,
Non-Trading Day,Previous,Asc,
Include Weekend,ALL, ,
Term,20100101,Current(20251128),
Symbol,A005930,A005380,A035420
Symbol Name,삼성전자,현대차,NAVER
Kind,SSC,SSC,SSC
Item,S410000700,S410000700,S410000700
Item Name,수정주가(원),수정주가(원),수정주가(원)
Frequency,DAILY,DAILY,DAILY
2013-09-29,"27,320","256,500","111,158"
2013-09-30,"27,340","251,000","111,558"
2013-10-01,"27,640","254,500","111,558"
2013-10-02,"28,360","247,500","110,957"
2013-10-03,"28,360","247,500","110,957"
2013-10-04,"28,360","249,500","109,555"
2013-10-05,"28,360","249,500","109,555"
2013-10-06,"28,360","249,500","109,555"
2013-10-07,"28,720","247,500","109,756"
2013-10-08,"28,600","253,500","114,563"
2013-10-09,"28,600","253,500","114,563"
2013-10-10,"28,600","260,500","113,761"
2013-10-11,"28,860","264,500","116,565"
2013-10-12,"28,860","264,500","116,565"
2013-10-13,"28,860","264,500","116,565"
2013-10-14,"28,760","262,000","116,165"
2013-10-15,"29,140","263,500","126,580"
2013-10-16,"29,000","266,000","119,169"
2013-10-17,"29,260","264,500","122,173"
2013-10-18,"29,440","256,500","128,182"
2013-10-19,"29,440","256,500","128,182"
2013-10-20,"29,440","256,500","128,182"
2013-10-21,"29,280","261,000","133,189"
2013-10-22,"29,100","262,500","131,186"
2013-10-23,"28,840","258,500","123,776"
2013-10-24,"28,980","253,500","123,776"
2013-10-25,"28,980","258,500","121,572"
2013-10-26,"28,980","258,500","121,572"
2013-10-27,"28,980","258,500","121,572"
2013-10-28,"29,640","265,000","127,781"
2013-10-29,"29,800","261,500","126,179"
2013-10-30,"30,000","261,000","126,179"
2013-10-31,"29,300","253,000","119,570"
2013-11-01,"30,000","254,000","121,172"
2013-11-02,"30,000","254,000","121,172"
2013-11-03,"30,000","254,000","121,172"
2013-11-04,"29,980","248,000","117,366"
2013-11-05,"29,700","244,500","119,570"
2013-11-06,"29,020","250,000","116,165"
2013-11-07,"28,740","254,000","116,766"
2013-11-08,"28,200","248,500","112,159"
2013-11-09,"28,200","248,500","112,159"
2013-11-10,"28,200","248,500","112,159"
2013-11-11,"28,560","247,500","116,165"
2013-11-12,"29,120","249,000","122,974"
2013-11-13,"28,380","244,000","120,170"
2013-11-14,"28,480","243,000","124,176"
2013-11-15,"29,240","249,000","125,578"
2013-11-16,"29,240","249,000","125,578"
2013-11-17,"29,240","249,000","125,578"
2013-11-18,"29,480","254,000","125,178"
2013-11-19,"29,780","258,500","123,776"
2013-11-20,"29,400","254,500","126,179"
2013-11-21,"28,800","253,500","125,178"
2013-11-22,"29,000","253,000","127,381"
2013-11-23,"29,000","253,000","127,381"
2013-11-24,"29,000","253,000","127,381"
2013-11-25,"29,300","252,500","127,381"
2013-11-26,"29,580","255,000","127,180"
2013-11-27,"29,400","257,500","132,788"
2013-11-28,"29,880","255,000","139,398"
2013-11-29,"29,880","252,000","138,597"
2013-11-30,"29,880","252,000","138,597"
2013-12-01,"29,880","252,000","138,597"
2013-12-02,"29,340","249,500","137,595"
2013-12-03,"29,220","239,000","137,395"
2013-12-04,"28,640","233,000","134,791"
2013-12-05,"28,800","232,500","135,392"
2013-12-06,"28,560","230,000","142,202"
2013-12-07,"28,560","230,000","142,202"
2013-12-08,"28,560","230,000","142,202"
2013-12-09,"29,080","230,000","142,001"
2013-12-10,"28,800","228,500","142,001"
2013-12-11,"28,400","229,000","143,604"
2013-12-12,"28,200","230,000","143,003"
2013-12-13,"27,800","231,500","140,800"
2013-12-14,"27,800","231,500","140,800"
2013-12-15,"27,800","231,500","140,800"
2013-12-16,"28,000","228,000","141,801"
2013-12-17,"27,900","227,000","146,608"
2013-12-18,"28,020","227,500","142,202"
2013-12-19,"28,540","220,500","146,207"
2013-12-20,"28,540","224,500","147,409"
2013-12-21,"28,540","224,500","147,409"
2013-12-22,"28,540","224,500","147,409"
2013-12-23,"28,660","228,500","148,210"
2013-12-24,"28,300","226,000","147,009"
2013-12-25,"28,300","226,000","147,009"
2013-12-26,"28,160","225,500","143,003"
2013-12-27,"27,920","229,500","147,009"
2013-12-28,"27,920","229,500","147,009"
2013-12-29,"27,920","229,500","147,009"
2013-12-30,"27,440","236,500","145,006"
2013-12-31,"27,440","236,500","145,006"
2014-01-01,"27,440","236,500","145,006"
2014-01-02,"26,180","224,500","145,206"
2014-01-03,"25,920","224,000","139,999"
2014-01-04,"25,920","224,000","139,999"
2014-01-05,"25,920","224,000","139,999"
2014-01-06,"26,140","228,500","139,999"
2014-01-07,"26,080","229,000","140,199"
2014-01-08,"25,820","229,500","140,199"
2014-01-09,"25,500","224,500","134,391"
2014-01-10,"25,440","221,000","138,196"
2014-01-11,"25,440","221,000","138,196"
2014-01-12,"25,440","221,000","138,196"
2014-01-13,"25,900","228,000","134,190"
2014-01-14,"26,260","232,000","133,589"
2014-01-15,"25,980","231,000","138,797"
2014-01-16,"26,020","233,000","144,205"
2014-01-17,"25,840","228,500","143,203"
2014-01-18,"25,840","228,500","143,203"
2014-01-19,"25,840","228,500","143,203"
2014-01-20,"26,320","231,000","143,604"
2014-01-21,"26,480","236,000","140,199"
2014-01-22,"26,560","236,500","141,000"
2014-01-23,"25,980","232,000","140,199"
2014-01-24,"26,140","228,000","135,993"
2014-01-25,"26,140","228,000","135,993"
2014-01-26,"26,140","228,000","135,993"
2014-01-27,"25,840","223,500","131,987"
2014-01-28,"25,660","230,500","135,592"
2014-01-29,"25,600","234,500","135,192"
2014-01-30,"25,600","234,500","135,192"
2014-01-31,"25,600","234,500","135,192"
2014-02-01,"25,600","234,500","135,192"
2014-02-02,"25,600","234,500","135,192"
2014-02-03,"25,440","231,500","135,392"
2014-02-04,"24,980","226,000","133,389"
2014-02-05,"24,740","228,500","137,996"
2014-02-06,"25,180","226,500","148,010"
2014-02-07,"25,500","230,500","150,413"
2014-02-08,"25,500","230,500","150,413"
2014-02-09,"25,500","230,500","150,413"
2014-02-10,"25,540","233,500","147,009"
2014-02-11,"26,220","231,000","147,609"
2014-02-12,"26,140","227,500","148,411"
2014-02-13,"25,960","227,000","149,813"
2014-02-14,"26,020","232,500","150,213"
2014-02-15,"26,020","232,500","150,213"
2014-02-16,"26,020","232,500","150,213"
2014-02-17,"25,700","233,000","150,013"
2014-02-18,"25,900","229,500","150,614"
2014-02-19,"25,800","225,500","150,213"
2014-02-20,"25,720","222,000","137,996"
2014-02-21,"26,600","228,000","141,200"
2014-02-22,"26,600","228,000","141,200"
2014-02-23,"26,600","228,000","141,200"
2014-02-24,"26,560","227,500","136,994"
2014-02-25,"26,680","233,000","147,209"
2014-02-26,"26,840","236,500","152,216"
2014-02-27,"26,820","243,500","158,625"
2014-02-28,"26,980","245,000","163,632"
2014-03-01,"26,980","245,000","163,632"
2014-03-02,"26,980","245,000","163,632"
2014-03-03,"26,500","246,000","162,831"
2014-03-04,"26,300","242,000","164,634"
2014-03-05,"26,600","244,500","170,642"
2014-03-06,"26,520","243,500","167,438"
2014-03-07,"26,780","238,500","165,435"
2014-03-08,"26,780","238,500","165,435"
2014-03-09,"26,780","238,500","165,435"
2014-03-10,"26,400","237,000","170,842"
2014-03-11,"26,440","236,500","170,241"
2014-03-12,"25,880","235,500","162,631"
2014-03-13,"25,800","229,000","167,638"
2014-03-14,"25,500","229,000","162,230"
2014-03-15,"25,500","229,000","162,230"
2014-03-16,"25,500","229,000","162,230"
2014-03-17,"25,320","234,000","160,428"
2014-03-18,"25,560","235,000","164,033"
2014-03-19,"25,380","231,000","166,837"
2014-03-20,"25,240","229,500","163,232"
2014-03-21,"25,460","234,500","161,028"
2014-03-22,"25,460","234,500","161,028"
2014-03-23,"25,460","234,500","161,028"
2014-03-24,"25,460","235,500","167,037"
2014-03-25,"24,940","232,500","158,625"
2014-03-26,"25,700","243,000","159,626"
2014-03-27,"26,660","246,000","154,820"
2014-03-28,"26,700","248,000","156,222"
2014-03-29,"26,700","248,000","156,222"
2014-03-30,"26,700","248,000","156,222"
2014-03-31,"26,860","251,000","155,020"
2014-04-01,"26,780","251,500","156,222"
2014-04-02,"27,140","250,000","161,229"
2014-04-03,"27,800","245,500","160,828"
2014-04-04,"27,600","247,500","158,224"
2014-04-05,"27,600","247,500","158,224"
2014-04-06,"27,600","247,500","158,224"
2014-04-07,"27,940","246,500","148,010"
2014-04-08,"27,880","248,500","148,611"
2014-04-09,"27,420","243,500","149,813"
2014-04-10,"27,600","242,500","153,217"
2014-04-11,"27,300","242,000","148,411"
2014-04-12,"27,300","242,000","148,411"
2014-04-13,"27,300","242,000","148,411"
2014-04-14,"27,400","241,500","148,811"
2014-04-15,"27,400","238,000","147,009"
2014-04-16,"27,600","242,000","150,213"
2014-04-17,"27,400","240,000","147,609"
2014-04-18,"27,560","245,000","150,213"
2014-04-19,"27,560","245,000","150,213"
2014-04-20,"27,560","245,000","150,213"
2014-04-21,"27,600","244,000","151,615"
2014-04-22,"27,500","245,000","158,825"
2014-04-23,"27,780","245,000","156,222"
2014-04-24,"28,140","242,000","155,621"
2014-04-25,"27,980","236,000","149,813"
2014-04-26,"27,980","236,000","149,813"
2014-04-27,"27,980","236,000","149,813"
2014-04-28,"27,760","233,500","147,009"
2014-04-29,"27,200","234,000","146,207"
2014-04-30,"26,860","230,000","147,810"
2014-05-01,"26,860","230,000","147,810"
2014-05-02,"26,920","225,000","148,010"
2014-05-03,"26,920","225,000","148,010"
2014-05-04,"26,920","225,000","148,010"
2014-05-05,"26,920","225,000","148,010"
2014-05-06,"26,920","225,000","148,010"
2014-05-07,"26,880","223,000","146,408"
2014-05-08,"27,000","228,500","141,200"
2014-05-09,"26,700","231,500","138,396"
2014-05-10,"26,700","231,500","138,396"
2014-05-11,"26,700","231,500","138,396"
2014-05-12,"27,760","229,500","144,004"
2014-05-13,"28,000","231,500","150,013"
2014-05-14,"28,300","237,500","151,815"
2014-05-15,"28,200","239,500","152,616"
2014-05-16,"28,560","234,500","150,614"
2014-05-17,"28,560","234,500","150,614"
2014-05-18,"28,560","234,500","150,614"
2014-05-19,"28,960","233,500","147,209"
2014-05-20,"29,020","230,000","151,415"
2014-05-21,"28,820","230,500","154,820"
2014-05-22,"28,520","233,000","155,821"
2014-05-23,"28,560","233,000","155,420"
2014-05-24,"28,560","233,000","155,420"
2014-05-25,"28,560","233,000","155,420"
2014-05-26,"28,440","235,000","149,212"
2014-05-27,"28,140","229,000","151,214"
2014-05-28,"28,660","230,000","155,821"
2014-05-29,"29,200","230,000","154,619"
2014-05-30,"28,860","224,500","151,815"
2014-05-31,"28,860","224,500","151,815"
2014-06-01,"28,860","224,500","151,815"
2014-06-02,"29,100","226,500","152,616"
2014-06-03,"29,400","227,000","151,214"
2014-06-04,"29,400","227,000","151,214"
2014-06-05,"29,140","225,000","148,811"
2014-06-06,"29,140","225,000","148,811"
2014-06-07,"29,140","225,000","148,811"
2014-06-08,"29,140","225,000","148,811"
2014-06-09,"28,180","224,000","153,818"
2014-06-10,"28,720","223,000","156,822"
2014-06-11,"28,440","224,000","157,423"
2014-06-12,"28,260","225,000","159,226"
2014-06-13,"27,340","224,000","157,223"
2014-06-14,"27,340","224,000","157,223"
2014-06-15,"27,340","224,000","157,223"
2014-06-16,"27,480","225,000","159,026"
2014-06-17,"27,480","229,500","156,222"
2014-06-18,"27,160","226,000","155,220"
2014-06-19,"26,460","223,500","155,621"
2014-06-20,"26,020","218,000","157,624"
2014-06-21,"26,020","218,000","157,624"
2014-06-22,"26,020","218,000","157,624"
2014-06-23,"26,440","219,500","165,435"
2014-06-24,"26,900","224,500","165,234"
2014-06-25,"26,400","228,500","164,634"
2014-06-26,"26,500","229,500","170,041"
2014-06-27,"26,220","230,000","166,636"
2014-06-28,"26,220","230,000","166,636"
2014-06-29,"26,220","230,000","166,636"
2014-06-30,"26,440","229,500","167,237"
2014-07-01,"26,200","229,000","169,040"
2014-07-02,"26,600","230,500","169,641"
2014-07-03,"26,360","228,000","166,236"
2014-07-04,"26,120","228,000","164,033"
2014-07-05,"26,120","228,000","164,033"
2014-07-06,"26,120","228,000","164,033"
2014-07-07,"25,840","225,500","166,436"
2014-07-08,"25,900","225,500","166,436"
2014-07-09,"26,160","224,000","161,229"
2014-07-10,"26,120","228,500","161,629"
2014-07-11,"25,680","224,000","158,825"
2014-07-12,"25,680","224,000","158,825"
2014-07-13,"25,680","224,000","158,825"
2014-07-14,"25,720","223,000","161,830"
2014-07-15,"26,400","230,000","165,635"
2014-07-16,"26,420","235,000","160,027"
2014-07-17,"26,600","234,000","156,622"
2014-07-18,"26,860","232,500","156,822"
2014-07-19,"26,860","232,500","156,822"
2014-07-20,"26,860","232,500","156,822"
2014-07-21,"27,060","227,500","153,418"
2014-07-22,"26,960","229,000","156,822"
2014-07-23,"26,760","225,500","152,016"
2014-07-24,"27,100","229,000","151,014"
2014-07-25,"27,100","227,500","151,615"
2014-07-26,"27,100","227,500","151,615"
2014-07-27,"27,100","227,500","151,615"
2014-07-28,"27,160","227,000","153,017"
2014-07-29,"27,720","237,500","147,009"
2014-07-30,"27,900","244,500","154,018"
2014-07-31,"26,860","245,500","150,013"
2014-08-01,"25,840","243,500","153,017"
2014-08-02,"25,840","243,500","153,017"
2014-08-03,"25,840","243,500","153,017"
2014-08-04,"26,340","237,500","156,822"
2014-08-05,"26,320","236,000","152,616"
2014-08-06,"26,000","233,000","151,615"
2014-08-07,"25,800","232,000","149,212"
2014-08-08,"25,000","228,500","154,018"
2014-08-09,"25,000","228,500","154,018"
2014-08-10,"25,000","228,500","154,018"
2014-08-11,"25,400","231,000","152,216"
2014-08-12,"25,320","232,000","154,419"
2014-08-13,"25,280","233,500","160,227"
2014-08-14,"25,220","230,000","159,026"
2014-08-15,"25,220","230,000","159,026"
2014-08-16,"25,220","230,000","159,026"
2014-08-17,"25,220","230,000","159,026"
2014-08-18,"25,000","224,000","159,026"
2014-08-19,"25,080","224,500","160,227"
2014-08-20,"25,220","226,000","158,024"
2014-08-21,"24,700","224,000","152,016"
2014-08-22,"24,940","224,500","155,020"
2014-08-23,"24,940","224,500","155,020"
2014-08-24,"24,940","224,500","155,020"
2014-08-25,"24,560","225,000","155,621"
2014-08-26,"24,440","226,000","156,021"
2014-08-27,"24,600","228,000","156,222"
2014-08-28,"24,840","231,000","153,217"
2014-08-29,"24,680","233,000","153,818"
2014-08-30,"24,680","233,000","153,818"
2014-08-31,"24,680","233,000","153,818"
2014-09-01,"24,520","232,000","153,217"
2014-09-02,"23,880","225,500","152,817"
2014-09-03,"23,780","222,000","150,213"
2014-09-04,"24,200","221,500","150,213"
2014-09-05,"24,020","217,500","145,206"
2014-09-06,"24,020","217,500","145,206"
2014-09-07,"24,020","217,500","145,206"
2014-09-08,"24,020","217,500","145,206"
2014-09-09,"24,020","217,500","145,206"
2014-09-10,"24,020","217,500","145,206"
2014-09-11,"23,840","213,500","139,999"
2014-09-12,"24,020","220,000","141,801"
2014-09-13,"24,020","220,000","141,801"
2014-09-14,"24,020","220,000","141,801"
2014-09-15,"24,000","219,500","142,202"
2014-09-16,"24,120","218,500","145,607"
2014-09-17,"24,520","218,000","148,811"
2014-09-18,"24,200","198,000","158,224"
2014-09-19,"24,200","195,000","158,625"
2014-09-20,"24,200","195,000","158,625"
2014-09-21,"24,200","195,000","158,625"
2014-09-22,"23,760","195,500","158,224"
2014-09-23,"23,220","191,500","167,037"
2014-09-24,"23,000","192,000","166,837"
2014-09-25,"23,120","189,500","161,830"
2014-09-26,"23,700","187,000","164,433"
2014-09-27,"23,700","187,000","164,433"
2014-09-28,"23,700","187,000","164,433"
2014-09-29,"23,900","189,500","166,236"
2014-09-30,"23,680","190,500","161,629"
2014-10-01,"23,120","188,500","161,028"
2014-10-02,"22,820","180,000","158,625"
2014-10-03,"22,820","180,000","158,625"
2014-10-04,"22,820","180,000","158,625"
2014-10-05,"22,820","180,000","158,625"
2014-10-06,"23,020","184,500","156,021"
2014-10-07,"23,240","182,000","154,219"
2014-10-08,"22,600","178,000","157,023"
2014-10-09,"22,600","178,000","157,023"
2014-10-10,"22,100","178,000","148,210"
2014-10-11,"22,100","178,000","148,210"
2014-10-12,"22,100","178,000","148,210"
2014-10-13,"22,160","178,500","151,415"
2014-10-14,"22,540","176,000","151,815"
2014-10-15,"22,500","175,000","156,622"
2014-10-16,"22,300","168,000","157,223"
2014-10-17,"21,780","162,000","153,418"
2014-10-18,"21,780","162,000","153,418"
2014-10-19,"21,780","162,000","153,418"
2014-10-20,"22,120","169,000","157,023"
2014-10-21,"21,660","167,000","159,426"
2014-10-22,"22,080","161,500","159,827"
2014-10-23,"21,880","171,000","159,026"
2014-10-24,"22,240","172,500","156,222"
2014-10-25,"22,240","172,500","156,222"
2014-10-26,"22,240","172,500","156,222"
2014-10-27,"21,900","176,000","155,621"
2014-10-28,"21,820","173,500","161,028"
2014-10-29,"22,600","173,500","155,821"
2014-10-30,"23,620","172,000","150,213"
2014-10-31,"24,880","170,000","151,014"
2014-11-01,"24,880","170,000","151,014"
2014-11-02,"24,880","170,000","151,014"
2014-11-03,"24,700","160,000","150,013"
2014-11-04,"24,340","155,000","150,413"
2014-11-05,"24,040","151,000","153,217"
2014-11-06,"24,080","158,500","149,412"
2014-11-07,"24,120","162,000","148,811"
2014-11-08,"24,120","162,000","148,811"
2014-11-09,"24,120","162,000","148,811"
2014-11-10,"25,360","166,500","148,811"
2014-11-11,"24,620","176,000","148,611"
2014-11-12,"24,600","176,000","150,013"
2014-11-13,"24,000","178,500","152,817"
2014-11-14,"23,880","177,000","152,416"
2014-11-15,"23,880","177,000","152,416"
2014-11-16,"23,880","177,000","152,416"
2014-11-17,"24,100","177,500","152,416"
2014-11-18,"24,400","177,500","156,422"
2014-11-19,"24,360","171,500","157,624"
2014-11-20,"24,200","167,000","158,024"
2014-11-21,"24,460","165,000","152,817"
2014-11-22,"24,460","165,000","152,817"
2014-11-23,"24,460","165,000","152,817"
2014-11-24,"24,400","171,500","150,213"
2014-11-25,"23,800","174,000","150,814"
2014-11-26,"24,020","174,500","150,814"
2014-11-27,"25,280","180,500","149,212"
2014-11-28,"25,740","179,000","151,415"
2014-11-29,"25,740","179,000","151,415"
2014-11-30,"25,740","179,000","151,415"
2014-12-01,"25,900","182,000","147,810"
2014-12-02,"25,900","176,500","146,808"
2014-12-03,"25,960","177,500","147,009"
2014-12-04,"26,000","185,000","147,409"
2014-12-05,"26,040","188,000","147,409"
2014-12-06,"26,040","188,000","147,409"
2014-12-07,"26,040","188,000","147,409"
2014-12-08,"26,380","185,500","146,207"
2014-12-09,"26,980","181,500","145,406"
2014-12-10,"26,340","180,000","142,402"
2014-12-11,"26,100","178,000","141,000"
2014-12-12,"25,720","178,500","142,803"
2014-12-13,"25,720","178,500","142,803"
2014-12-14,"25,720","178,500","142,803"
2014-12-15,"25,460","174,500","144,605"
2014-12-16,"25,580","174,500","146,007"
2014-12-17,"25,320","169,000","146,007"
2014-12-18,"25,320","167,500","144,004"
2014-12-19,"26,560","170,000","148,210"
2014-12-20,"26,560","170,000","148,210"
2014-12-21,"26,560","170,000","148,210"
2014-12-22,"26,900","171,000","149,212"
2014-12-23,"26,780","171,500","149,212"
2014-12-24,"26,860","175,000","148,411"
2014-12-25,"26,860","175,000","148,411"
2014-12-26,"27,040","174,500","147,409"
2014-12-27,"27,040","174,500","147,409"
2014-12-28,"27,040","174,500","147,409"
2014-12-29,"26,580","171,500","144,805"
2014-12-30,"26,540","169,000","142,602"
2014-12-31,"26,540","169,000","142,602"
2015-01-01,"26,540","169,000","142,602"
2015-01-02,"26,600","169,000","146,408"
2015-01-03,"26,600","169,000","146,408"
2015-01-04,"26,600","169,000","146,408"
2015-01-05,"26,660","168,000","150,013"
2015-01-06,"25,900","164,500","148,811"
2015-01-07,"26,140","170,000","146,608"
2015-01-08,"26,280","178,000","149,011"
2015-01-09,"26,280","180,000","150,614"
2015-01-10,"26,280","180,000","150,614"
2015-01-11,"26,280","180,000","150,614"
2015-01-12,"26,320","177,500","150,213"
2015-01-13,"26,780","179,500","148,210"
2015-01-14,"26,900","177,500","148,010"
2015-01-15,"26,680","174,500","155,621"
2015-01-16,"26,320","171,000","155,621"
2015-01-17,"26,320","171,000","155,621"
2015-01-18,"26,320","171,000","155,621"
2015-01-19,"26,860","172,500","155,420"
2015-01-20,"27,440","173,500","158,224"
2015-01-21,"27,900","171,500","156,222"
2015-01-22,"27,560","168,000","153,217"
2015-01-23,"27,720","168,000","156,222"
2015-01-24,"27,720","168,000","156,222"
2015-01-25,"27,720","168,000","156,222"
2015-01-26,"27,780","164,500","154,419"
2015-01-27,"28,000","164,000","153,017"
2015-01-28,"27,560","165,500","155,621"
2015-01-29,"27,200","167,000","147,409"
2015-01-30,"27,300","169,500","143,403"
2015-01-31,"27,300","169,500","143,403"
2015-02-01,"27,300","169,500","143,403"
2015-02-02,"27,360","171,000","142,402"
2015-02-03,"27,320","166,000","142,602"
2015-02-04,"27,180","166,500","145,206"
2015-02-05,"27,160","166,000","142,602"
2015-02-06,"27,440","163,500","143,203"
2015-02-07,"27,440","163,500","143,203"
2015-02-08,"27,440","163,500","143,203"
2015-02-09,"27,900","157,500","136,393"
2015-02-10,"27,560","156,500","129,784"
2015-02-11,"27,100","157,000","134,791"
2015-02-12,"26,880","155,000","136,193"
2015-02-13,"27,220","158,000","133,790"
2015-02-14,"27,220","158,000","133,790"
2015-02-15,"27,220","158,000","133,790"
2015-02-16,"27,480","158,000","133,990"
2015-02-17,"27,540","162,500","134,391"
2015-02-18,"27,540","162,500","134,391"
2015-02-19,"27,540","162,500","134,391"
2015-02-20,"27,540","162,500","134,391"
2015-02-21,"27,540","162,500","134,391"
2015-02-22,"27,540","162,500","134,391"
2015-02-23,"27,340","162,000","127,982"
2015-02-24,"27,340","162,500","127,581"
2015-02-25,"27,580","164,000","128,382"
2015-02-26,"27,500","163,500","125,378"
2015-02-27,"27,140","160,500","132,388"
2015-02-28,"27,140","160,500","132,388"
2015-03-01,"27,140","160,500","132,388"
2015-03-02,"28,460","161,500","129,384"
2015-03-03,"28,360","166,500","130,185"
2015-03-04,"28,740","163,500","136,193"
2015-03-05,"28,440","167,500","137,996"
2015-03-06,"28,840","173,000","136,193"
2015-03-07,"28,840","173,000","136,193"
2015-03-08,"28,840","173,000","136,193"
2015-03-09,"28,400","169,000","130,786"
2015-03-10,"28,420","173,000","128,382"
2015-03-11,"29,480","176,500","125,979"
2015-03-12,"28,940","172,000","125,578"
2015-03-13,"29,140","172,000","130,185"
2015-03-14,"29,140","172,000","130,185"
2015-03-15,"29,140","172,000","130,185"
2015-03-16,"29,400","175,500","128,783"
2015-03-17,"29,940","182,000","132,188"
2015-03-18,"30,060","182,000","130,986"
2015-03-19,"29,400","184,000","128,382"
2015-03-20,"29,280","181,000","130,986"
2015-03-21,"29,280","181,000","130,986"
2015-03-22,"29,280","181,000","130,986"
2015-03-23,"29,340","179,000","136,193"
2015-03-24,"29,520","175,000","135,192"
2015-03-25,"29,700","170,000","134,190"
2015-03-26,"28,420","169,000","132,388"
2015-03-27,"28,420","167,500","134,591"
2015-03-28,"28,420","167,500","134,591"
2015-03-29,"28,420","167,500","134,591"
2015-03-30,"28,560","167,000","136,393"
2015-03-31,"28,820","168,500","134,391"
2015-04-01,"28,460","164,000","133,589"
2015-04-02,"28,680","164,000","128,582"
2015-04-03,"28,680","166,000","129,584"
2015-04-04,"28,680","166,000","129,584"
2015-04-05,"28,680","166,000","129,584"
2015-04-06,"29,400","162,000","127,180"
2015-04-07,"29,240","161,500","127,982"
2015-04-08,"29,580","161,000","129,183"
2015-04-09,"29,660","161,500","130,786"
2015-04-10,"29,800","167,500","130,185"
2015-04-11,"29,800","167,500","130,185"
2015-04-12,"29,800","167,500","130,185"
2015-04-13,"29,580","167,000","130,585"
2015-04-14,"29,480","171,000","133,589"
2015-04-15,"28,920","170,000","134,391"
2015-04-16,"29,540","169,000","134,791"
2015-04-17,"29,000","170,000","133,990"
2015-04-18,"29,000","170,000","133,990"
2015-04-19,"29,000","170,000","133,990"
2015-04-20,"28,600","174,500","133,389"
2015-04-21,"28,880","171,000","133,990"
2015-04-22,"29,220","170,000","134,991"
2015-04-23,"29,020","175,500","136,594"
2015-04-24,"28,200","177,500","133,589"
2015-04-25,"28,200","177,500","133,589"
2015-04-26,"28,200","177,500","133,589"
2015-04-27,"27,900","176,000","136,994"
2015-04-28,"27,320","172,500","137,395"
2015-04-29,"27,700","171,000","135,993"
2015-04-30,"28,200","169,000","130,185"
2015-05-01,"28,200","169,000","130,185"
2015-05-02,"28,200","169,000","130,185"
2015-05-03,"28,200","169,000","130,185"
2015-05-04,"28,000","172,000","120,771"
2015-05-05,"28,000","172,000","120,771"
2015-05-06,"27,240","171,500","122,774"
2015-05-07,"27,400","173,000","122,374"
2015-05-08,"26,760","173,000","121,973"
2015-05-09,"26,760","173,000","121,973"
2015-05-10,"26,760","173,000","121,973"
2015-05-11,"26,720","169,500","121,372"
2015-05-12,"26,620","169,000","121,172"
2015-05-13,"26,660","166,000","120,972"
2015-05-14,"26,800","164,000","121,572"
2015-05-15,"26,520","163,500","122,173"
2015-05-16,"26,520","163,500","122,173"
2015-05-17,"26,520","163,500","122,173"
2015-05-18,"26,400","162,500","123,776"
2015-05-19,"26,760","162,500","125,378"
2015-05-20,"27,320","162,500","123,375"
2015-05-21,"27,040","159,500","121,572"
2015-05-22,"27,000","162,500","125,578"
2015-05-23,"27,000","162,500","125,578"
2015-05-24,"27,000","162,500","125,578"
2015-05-25,"27,000","162,500","125,578"
2015-05-26,"27,240","160,000","124,376"
2015-05-27,"26,280","157,000","121,773"
2015-05-28,"26,180","156,000","121,172"
2015-05-29,"26,140","158,000","121,973"
2015-05-30,"26,140","158,000","121,973"
2015-05-31,"26,140","158,000","121,973"
2015-06-01,"25,820","154,500","123,575"
2015-06-02,"26,060","138,500","122,374"
2015-06-03,"25,460","135,500","120,371"
2015-06-04,"26,740","139,000","116,165"
2015-06-05,"26,820","137,500","113,161"
2015-06-06,"26,820","137,500","113,161"
2015-06-07,"26,820","137,500","113,161"
2015-06-08,"26,280","134,500","117,567"
2015-06-09,"25,640","135,500","118,168"
2015-06-10,"25,240","134,500","113,761"
2015-06-11,"25,140","138,000","113,361"
2015-06-12,"25,540","136,000","120,371"
2015-06-13,"25,540","136,000","120,371"
2015-06-14,"25,540","136,000","120,371"
2015-06-15,"25,400","136,500","125,578"
2015-06-16,"25,100","137,000","125,578"
2015-06-17,"25,080","136,000","126,179"
2015-06-18,"25,300","131,500","124,977"
2015-06-19,"25,320","130,000","126,980"
2015-06-20,"25,320","130,000","126,980"
2015-06-21,"25,320","130,000","126,980"
2015-06-22,"25,620","132,000","126,379"
2015-06-23,"26,420","131,000","128,182"
2015-06-24,"26,040","133,000","129,984"
2015-06-25,"25,380","132,000","130,786"
2015-06-26,"25,560","135,000","131,787"
2015-06-27,"25,560","135,000","131,787"
2015-06-28,"25,560","135,000","131,787"
2015-06-29,"25,620","134,500","130,385"
2015-06-30,"25,360","136,000","126,980"
2015-07-01,"25,900","136,500","125,778"
2015-07-02,"25,980","135,500","123,175"
2015-07-03,"25,360","135,000","122,774"
2015-07-04,"25,360","135,000","122,774"
2015-07-05,"25,360","135,000","122,774"
2015-07-06,"24,600","133,000","123,375"
2015-07-07,"24,800","131,500","122,774"
2015-07-08,"24,780","128,000","123,976"
2015-07-09,"25,300","127,000","122,173"
2015-07-10,"25,180","124,000","122,574"
2015-07-11,"25,180","124,000","122,574"
2015-07-12,"25,180","124,000","122,574"
2015-07-13,"25,320","125,500","122,974"
2015-07-14,"24,500","125,500","122,974"
2015-07-15,"24,700","126,500","121,172"
2015-07-16,"25,640","127,000","121,572"
